Plot,Sapflux_ID,Tree_ID,Species_Code,Grid_Square
Control,C7,1439,ACRU,B3
Control,C10,1387,ACRU,D4
Control,C11,1395,ACRU,F2
Control,C16,1390,FAGR,E4
Control,C18,1452,FAGR,NA
Control,C3,1425,LITU,C5
Control,C6,1411,LITU,B7
Control ,C9,1456,ACRU,NA
Control,C13,1407,FAGR,B8
Control,C14,1412,FAGR,B7
Control,C15,1432,FAGR,A4
Control,CD14,1412,FAGR,B7
Control,C1,1384,LITU,F5
Control,C2,1385,LITU,F5
Control,C4,1325,LITU,H4
Control,C5,1330,LITU,I3
Control,C17,1380,FAGR,F6
Control,C20,1319,ACRU,H5
Control,CD16,1390,FAGR,E4
Control,C21,1339,ACRU,G2
FW,F1,1578,LITU,H5
FW,F4,1561,LITU,E2
FW,F5,1591,LITU,G3
FW,F9,1592,ACRU,G3
FW,F12,1563,ACRU,F2
FW,F16,1596,FAGR,H4
FW,FD5,1591,LITU,G3
FW,FD17,1580,FAGR,I6
FW,F20,1573,ACRU,I7
FW,F3,1552,LITU,D5
FW,F6,1551,LITU,D6
FW,F7,1520,ACRU,B5
FW,F8,1521,ACRU,B4
FW,F13,1519,FAGR,D6
FW,F15,1516,FAGR,A6
FW,FD7,1520,ACRU,B5
FW,F19,1559,ACRU,D2
FW,F2,1576,LITU,G6
FW,F10,1546,ACRU,F8
FW,F11,1548,ACRU,F6
FW,F14,1543,FAGR,D7
FW,F17,1580,FAGR,I6
FW,F18,1569,FAGR,H8
SW,S2,1790,LITU,C5
SW,S3,1783,LITU,E5
SW,S13,1848,FAGR,A2
SW,S15,1829,FAGR,E4
SW,S16,1839,FAGR,C2
SW,S17,1868,FAGR,D1
SW,SD16,1839,FAGR,C2
SW,S1,1771,LITU,F7
SW,S4,1781,LITU,E6
SW,S7,1733,ACRU,D7
SW,S8,1788,ACRU,C6
SW,S11,1772,ACRU,F6
SW,S18,1780,FAGR,E5
SW,S20,1749,ACRU,B8
SW,SD3,1783,LITU,E5
SW,S5,1778,LITU,F5
SW,S6,1773,LITU,G6
SW,S9,1865,ACRU,F2
SW,S10,1775,ACRU,G5
SW,S12,1776,ACRU,F4
SW,S14,1851,FAGR,I2
SW,SD12,1776,ACRU,F4
SW,S19,1835,ACRU,D2
